version,host,test,outcome,seconds
0.7.5,jetson arm64,1,Ok,14729
0.7.5,jetson arm64,2,Ok,4
0.7.5,jetson arm64,3,Ok,44
0.7.5,jetson arm64,4,Ok,37
0.7.5,jetson arm64,5,Ok,38
0.7.5,jetson arm64,6,Ok,27
0.7.5,mac mini 2018 intel,1,Ok,3
0.7.5,mac mini 2018 intel,2,Ok,2
0.7.5,mac mini 2018 intel,3,Ok,21
0.7.5,mac mini 2018 intel,4,Ok,22
0.7.5,mac mini 2018 intel,5,Ok,23
0.7.5,mac mini 2018 intel,6,Ok,20
0.7.5,mac mini m1,1,Ok,4
0.7.5,mac mini m1,2,Ok,4
0.7.5,mac mini m1,3,Ok,22
0.7.5,mac mini m1,4,Ok,15
0.7.5,mac mini m1,5,Ok,28
0.7.5,mac mini m1,6,Ok,21
0.7.5,mac mini m4 pro,1,Ok,1
0.7.5,mac mini m4 pro,2,Ok,0
0.7.5,mac mini m4 pro,3,Ok,7
0.7.5,mac mini m4 pro,4,Ok,4
0.7.5,mac mini m4 pro,5,Ok,4
0.7.5,mac mini m4 pro,6,Ok,5
0.7.5,macbookpro 2018 intel,1,Ok,6
0.7.5,macbookpro 2018 intel,2,Ok,3
0.7.5,macbookpro 2018 intel,3,Ok,21
0.7.5,macbookpro 2018 intel,4,Ok,40
0.7.5,macbookpro 2018 intel,5,Ok,18
0.7.5,macbookpro 2018 intel,6,Ok,47
0.7.5,pi4 arm64,1,Ok,21
0.7.5,pi4 arm64,2,Ok,16
0.7.5,pi4 arm64,3,Ok,145
0.7.5,pi4 arm64,4,Ok,279
0.7.5,pi4 arm64,5,Ok,355
0.7.5,pi4 arm64,6,Ok,266
0.7.5,pi5 arm64,1,Ok,5
0.7.5,pi5 arm64,2,Ok,8
0.7.5,pi5 arm64,3,Ok,40
0.7.5,pi5 arm64,4,Ok,48
0.7.5,pi5 arm64,5,Ok,65
0.7.5,pi5 arm64,6,Ok,47
