version,host,test,outcome,seconds
0.7.5-rc9,jetson arm64,1,Ok,6
0.7.5-rc9,jetson arm64,2,Ok,3
0.7.5-rc9,jetson arm64,3,Ok,49
0.7.5-rc9,jetson arm64,4,Ok,53
0.7.5-rc9,jetson arm64,5,Ok,68
0.7.5-rc9,jetson arm64,6,Ok,82
0.7.5-rc9,mac mini 2018 intel,1,Ok,2
0.7.5-rc9,mac mini 2018 intel,2,Ok,3
0.7.5-rc9,mac mini 2018 intel,3,Ok,13
0.7.5-rc9,mac mini 2018 intel,4,Ok,18
0.7.5-rc9,mac mini 2018 intel,5,Ok,23
0.7.5-rc9,mac mini 2018 intel,6,Ok,19
0.7.5-rc9,mac mini m1,1,Ok,2
0.7.5-rc9,mac mini m1,2,Ok,2
0.7.5-rc9,mac mini m1,3,Ok,13
0.7.5-rc9,mac mini m1,4,Ok,19
0.7.5-rc9,mac mini m1,5,Ok,11
0.7.5-rc9,mac mini m1,6,Ok,19
0.7.5-rc9,mac mini m4 pro,1,Ok,1
0.7.5-rc9,mac mini m4 pro,2,Ok,1
0.7.5-rc9,mac mini m4 pro,3,Ok,4
0.7.5-rc9,mac mini m4 pro,4,Ok,7
0.7.5-rc9,mac mini m4 pro,5,Ok,3
0.7.5-rc9,mac mini m4 pro,6,Ok,5
0.7.5-rc9,macbookpro 2018 intel,1,Ok,4
0.7.5-rc9,macbookpro 2018 intel,2,Ok,1
0.7.5-rc9,macbookpro 2018 intel,3,Ok,37
0.7.5-rc9,macbookpro 2018 intel,4,Ok,19
0.7.5-rc9,macbookpro 2018 intel,5,Ok,30
0.7.5-rc9,macbookpro 2018 intel,6,Ok,25
0.7.5-rc9,pi4 arm64,1,Ok,29
0.7.5-rc9,pi4 arm64,2,Ok,15
0.7.5-rc9,pi4 arm64,3,Ok,138
0.7.5-rc9,pi4 arm64,4,Ok,298
0.7.5-rc9,pi4 arm64,5,Ok,181
0.7.5-rc9,pi4 arm64,6,Ok,219
0.7.5-rc9,pi5 arm64,1,Ok,7
0.7.5-rc9,pi5 arm64,2,Ok,4
0.7.5-rc9,pi5 arm64,3,Ok,34
0.7.5-rc9,pi5 arm64,4,Ok,82
0.7.5-rc9,pi5 arm64,5,Ok,47
0.7.5-rc9,pi5 arm64,6,Ok,47
