version,host,test,outcome,seconds
0.7.7,jetson arm64,1,Ok,6
0.7.7,jetson arm64,2,Ok,6
0.7.7,jetson arm64,3,Ok,55
0.7.7,jetson arm64,4,Ok,48
0.7.7,jetson arm64,5,Ok,47
0.7.7,jetson arm64,6,Ok,57
0.7.7,mac mini 2018 intel,1,Ok,4
0.7.7,mac mini 2018 intel,2,Ok,2
0.7.7,mac mini 2018 intel,3,Ok,18
0.7.7,mac mini 2018 intel,4,Ok,17
0.7.7,mac mini 2018 intel,5,Ok,20
0.7.7,mac mini 2018 intel,6,Ok,14
0.7.7,mac mini m1,1,Ok,2
0.7.7,mac mini m1,2,Ok,2
0.7.7,mac mini m1,3,Ok,15
0.7.7,mac mini m1,4,Ok,13
0.7.7,mac mini m1,5,Ok,21
0.7.7,mac mini m1,6,Ok,19
0.7.7,mac mini m4 pro,1,Ok,1
0.7.7,mac mini m4 pro,2,Ok,1
0.7.7,mac mini m4 pro,3,Ok,4
0.7.7,mac mini m4 pro,4,Ok,6
0.7.7,mac mini m4 pro,5,Ok,7
0.7.7,mac mini m4 pro,6,Ok,5
0.7.7,macbookpro 2018 intel,1,Ok,7
0.7.7,macbookpro 2018 intel,2,Ok,3
0.7.7,macbookpro 2018 intel,3,Ok,23
0.7.7,macbookpro 2018 intel,4,Ok,31
0.7.7,macbookpro 2018 intel,5,Ok,76
0.7.7,macbookpro 2018 intel,6,Ok,27
0.7.7,pi4 arm64,1,Ok,21
0.7.7,pi4 arm64,2,Ok,13
0.7.7,pi4 arm64,3,Ok,126
0.7.7,pi4 arm64,4,Ok,131
0.7.7,pi4 arm64,5,Ok,150
0.7.7,pi4 arm64,6,Ok,163
0.7.7,pi5 arm64,1,Ok,9
0.7.7,pi5 arm64,2,Ok,10
0.7.7,pi5 arm64,3,Ok,69
0.7.7,pi5 arm64,4,Ok,36
0.7.7,pi5 arm64,5,Ok,70
0.7.7,pi5 arm64,6,Ok,57
