version,host,test,outcome,seconds
0.7.6,jetson arm64,1,Ok,7
0.7.6,jetson arm64,2,Ok,8
0.7.6,jetson arm64,3,Ok,43
0.7.6,jetson arm64,4,Ok,30
0.7.6,jetson arm64,5,Ok,47
0.7.6,jetson arm64,6,Ok,79
0.7.6,mac mini 2018 intel,1,Ok,4
0.7.6,mac mini 2018 intel,2,Ok,3
0.7.6,mac mini 2018 intel,3,Ok,22
0.7.6,mac mini 2018 intel,4,Ok,26
0.7.6,mac mini 2018 intel,5,Ok,33
0.7.6,mac mini 2018 intel,6,Ok,25
0.7.6,mac mini m1,1,Ok,1
0.7.6,mac mini m1,2,Ok,2
0.7.6,mac mini m1,3,Ok,14
0.7.6,mac mini m1,4,Ok,19
0.7.6,mac mini m1,5,Ok,17
0.7.6,mac mini m1,6,Ok,24
0.7.6,mac mini m4 pro,1,Ok,1
0.7.6,mac mini m4 pro,2,Ok,1
0.7.6,mac mini m4 pro,3,Ok,5
0.7.6,mac mini m4 pro,4,Ok,6
0.7.6,mac mini m4 pro,5,Ok,5
0.7.6,mac mini m4 pro,6,Ok,5
0.7.6,macbookpro 2018 intel,1,Ok,3
0.7.6,macbookpro 2018 intel,2,Ok,4
0.7.6,macbookpro 2018 intel,3,Ok,16
0.7.6,macbookpro 2018 intel,4,Ok,33
0.7.6,macbookpro 2018 intel,5,Ok,19
0.7.6,macbookpro 2018 intel,6,Ok,25
0.7.6,pi4 arm64,1,Ok,20
0.7.6,pi4 arm64,2,Ok,13
0.7.6,pi4 arm64,3,Ok,222
0.7.6,pi4 arm64,4,Ok,226
0.7.6,pi4 arm64,5,Ok,208
0.7.6,pi4 arm64,6,Ok,335
0.7.6,pi5 arm64,1,Ok,6
0.7.6,pi5 arm64,2,Ok,6
0.7.6,pi5 arm64,3,Ok,87
0.7.6,pi5 arm64,4,Ok,31
0.7.6,pi5 arm64,5,Ok,167
0.7.6,pi5 arm64,6,Ok,40
